000000Alabama Gadget                8145003399
000001Alaska Gadget                 1100002299
000002Arizona Gadget                0485004499
000003Arkansas Gadget               7990007399
000004California Gadget             5378004299
000005Colorado Gadget               0094005699
000006Connecticut Gadget            6106006999
000008Florida Gadget                4882003299
000009Georgia Gadget                4735006799
000010Hawaii Gadget                 3169000799
000011Idaho Gadget                  9662000099
000012Illinois Gadget               3778000199
000013Indiana Gadget                8844000199
000014Iowa Gadget                   6234000299
000015Kansas Gadget                 6891002899
000016Kentucky Gadget               3611003699
000018Maine Gadget                  6230009799
000019Maryland Gadget               9018002999
000020Massachusetts Gadget          1694003299
000021Michigan Gadget               9351005099
000022Minnesota Gadget              9800009399
000023Mississippi Gadget            5743002099
000024Missouri Gadget               9423006099
000025Montana Gadget                2712005799
000026Nebraska Gadget               7578005199
000027Nevada Gadget                 4244000799
000028New Hampshire Gadget          9289000199
000029New Jersey Gadget             3240000199
000030New Mexico Gadget             9058000199
000031New York Gadget               8157000199
000032North Carolina Gadget         2995005899
000033North Dakota Gadget           0775009499
000034Ohio Gadget                   8430004299
000035Oklahoma Gadget               7737002299
000036Oregon Gadget                 7447009799
000037Pennsylvania Gadget           2035007799
000038Rhode Island Gadget           0918004599
000039South Carolina Gadget         8685003199
000040South Dakota Gadget           6332002199
000041Tennessee Gadget              9397007499
000042Texas Gadget                  1679008499
000043Utah Gadget                   0161007799
000044Vermont Gadget                7619005099
000045Virginia Gadget               5035001299
000046Washington Gadget             2055004599
000047West Virginia Gadget          2094007799
000048Wisconsin Gadget              8409003699
000049Wyoming Gadget                7634003699
